	cloc_total	contrib_count	coverage_p	dup_files	test_files
ace	18134	101	18.9091	175	0
activable	263	1	47.5108	0	2
adapt	62	1	100	0	0
agility	1748	5	17.0213	0	15
akihabara	39	5	4.77583	0	0
alice	3775	5	43.7765	11	0
almond	829	3	47.6825	1	62
aloha-editor	32661	41	13.2585	169	139
amplify	79	14	55.427	98	24
android-actionbarstylegenerator	1176	1	79.9422	17	40
ansuz	90	11	16.9231	110	1200
apiconnect	644	1	22.5825	32	11
appengine-boilerplate	845	3	69.2308	36	6
arttemplate	1848	4	60.5681	0	31
async	20	26	57.016	9	3
audiojs	122	7	38.639	1	0
babilu	14	3	92	0	9
backbone	4547	121	86.5285	2	22
backbone-aura	402	14	17.9984	56	13
backbone-boilerplate	77	27	27.1571	38	18
backbone-boilerplates	261	6	15	17	18
backbone-deep-model	21	8	97.1698	0	10
backbone-express-mongoose-socketio	2021	4	24.1703	9	8
backbone-forms	231	15	56.3325	0	41
backbone-fundamentals	4357	57	15	53	12
backbone-nested	123	5	57.1429	8	10
backbone-relational	22	16	94.2215	0	11
backbone-tastypie	23	4	94.1176	0	10
backbone-ui	695	6	22.1019	32	9
backbone_query	20	2	94.4444	0	10
biwascheme	1694	7	29.2586	1	31
blue-ridge	101	9	37.1573	64	34
bookreader	54	11	31.3424	2	10
boomerang	1176	16	49.3388	0	6
bootbox	43	10	8.61244	0	27
bootstrap	8728	132	39.1485	39	56
bootstrap-datepicker	59	42	92.1615	0	24
bootstrap-sass-scss-compass	7410	114	76.3485	36	47
bootstrap-tour	253	4	37.3735	25	6
brackets	5835	35	9.85981	12	178
brequire	103	4	27.911	0	52
butter	1929	19	7.13613	2	106
calendar_date_select	695	41	20.6615	1	16
canjs	4854	46	43.9413	60	65
chai	25	16	39.1425	4	12
chico	14825	13	85.2278	87	1384
chrome-app-samples	9614	10	35.3222	204	45
chromeless	2387	39	93.3029	7	271
codemirror2	9301	113	62.5262	57	18
cohorts	118	2	68.4573	0	4
collusion	925	10	29.4737	16	4
common-node	5513	4	20.7366	7	23
context-blender	135	2	40	0	58
control	7908	8	12.3306	35	152
core	14937	80	100	636	1001
countly-server	4329	5	27.8131	84	311
coweb	269	8	9.92869	1	29
crafty	838	47	43.4252	0	14
create	263	13	9.02439	0	12
creditcard_js	65	2	92.3077	0	5
cssom	61	7	19.8962	0	17
cufon	1360	4	19.9458	0	105
curl	4189	10	63.0102	1	108
customselect	103	3	55.9638	0	4
d3	7695	38	16.3074	34	151
data	206	42	16.1964	18	10
datacouch	2033	6	56.6372	89	168
dataset	216	5	44.1293	4	39
datatables	42309	9	38.6534	5	349
date_input	80	1	63.8009	0	12
datejs	497	3	48.5806	8	83
dmv	19108	3	32.7652	240	1244
do	119	2	47.5444	0	8
documentjs	240	13	100	0	12
domnode	341	5	89.7196	7	52
donatello	642	3	19.0689	0	18
dreadnot	3501	11	54.8033	127	1070
dustjs	3199	15	63.986	96	127
dygraphs	7733	39	16.9704	69	176
easyxdm	2526	28	27.4348	3	12
ecssential	190	2	40.7692	1	4
emailjs	698	9	31.25	2	9
emile	135	6	78.125	0	3
emscripten	16237	31	10	66	2594
env-js	2880	9	23.3399	77	212
envisionjs	27005	3	23.8242	111	39
enyo	863	29	28.2577	75	117
es5-shim	43	29	66.4865	1	18
es6-shim	31	4	48.083	0	10
esprima	5057	11	26.163	15	37
etherpad-lite	894	57	27.6308	32	10
eventemitter	19	4	88.8889	0	6
eventproxy	572	3	18.8406	0	4
eventsource	175	3	9.47368	0	9
extensible	852	6	8.46679	1	16
fathom	242	3	46.385	0	7
fbootstrapp	2361	42	76.5363	2	14
filtrr	1260	1	30.3838	7	14
findandreplacedomtext	122	2	99.1379	0	5
firebug	13315	26	100	17	1153
fixie	53	9	60.7843	0	3
flexie	95	1	23.9678	0	5
flotr2	6770	14	36.1957	111	28
flux-slider	156	1	68.5446	1	0
flyjsonp	19	1	92.9204	0	5
fontello	1047	5	100	52	3
fuckitjs	45	5	40.1973	0	0
fullcalendar	3941	9	41.9629	0	87
funcunit	615	21	16.9027	16	78
fusebox	52	2	27.8016	11	4
gaia	7107	110	8.94257	28	163
gas	290	2	100	0	15
geo	10337	4	24.5585	28	3
github-badges	383	4	57.3117	0	14
gl-matrix	2049	7	59.2394	114	95
gladius-core	5073	12	43.2205	167	369
globalize	280	18	33.3029	7	13
glow1	3054	15	28.9517	0	127
grunt	25	9	21.158	33	30
h5f	190	7	50.0549	1	3
headjs	224	6	54.6875	0	16
hookbox	3626	19	0	18	7
html2canvas	3713	11	15.1811	7	31
html5-boilerplate-for-wordpress	354	2	64.2857	2	6
html5-game-template	4208	7	46.6674	59	160
html5please	974	61	45.3209	0	3
html5shiv	801	8	28.2579	2	45
humane-dates	15	4	82.7586	0	10
humane-js	178	8	78.7879	0	2
i18next	84	8	18.6275	0	23
ice	991	6	7.96964	84	10
ico	476	5	15.4959	18	11
imgareaselect	100	1	18.6277	0	25
infinite-scroll	761	22	25.6098	0	11
instiki	1285	11	9.40078	76	1488
iviewer	245	4	53.0581	0	24
jail	819	3	87.4074	10	3
jam	3024	6	43.3081	117	482
jasmine	128	44	93.3555	37	47
jasmine-ajax	148	7	22.7008	7	43
javascript-astar	375	5	8.10811	0	3
javascript-book	351	5	41.2386	6	5
javascript-load-image	114	4	23.6364	0	3
javascript-stacktrace	390	12	22.0299	0	32
javascript-state-machine	87	4	78.6667	0	13
javascript-templates	153	1	48.5714	0	4
javelin	290	36	38.3143	0	26
jaws	1260	11	31.1677	0	21
jcarousel	1144	7	32.2016	30	25
jdataview	125	9	52.8807	24	4
jelly	347	7	29.2045	10	97
jester	1290	9	1.23762	0	35
jim	408	6	100	0	92
jmapping	72	4	47.7778	4	17
jo	277	15	35.3774	0	0
jqcloud	216	8	47.4771	0	5
jqfundamentals	7624	22	25.9609	26	9
jqtree	1113	6	64.5053	4	3
jquery	17005	131	29.2645	163	93
jquery-address	563	11	100	19	7
jquery-animate-enhanced	1168	8	21.0664	13	13
jquery-autocomplete	152	8	33.123	0	0
jquery-bbq	547	1	45.5285	61	0
jquery-carousel-lite	400	2	65.5	24	6
jquery-chrono	1782	3	95.9459	12	122
jquery-cluetip	883	3	41.6214	15	11
jquery-collapse	140	2	42.9815	0	3
jquery-color	21	10	11.5741	3	21
jquery-cookie	19	10	44.1687	0	0
jquery-csshooks	84	6	68.4887	5	22
jquery-easytabs	206	3	40.0881	0	14
jquery-file-upload	383	14	23.2177	1	3
jquery-flexselect	327	4	59.2798	0	0
jquery-hashchange	376	1	45.5285	31	0
jquery-hive	117	2	30.2939	4	33
jquery-jsonp	17	2	15.5844	0	8
jquery-lint	62	3	89.7707	0	27
jquery-metadata	49	7	96.6667	0	6
jquery-mobile	28458	186	31.1118	75	171
jquery-mockjax	27	20	42.7905	42	8
jquery-mousewheel	52	5	20.1336	0	2
jquery-placeholder	94	6	54.1455	0	0
jquery-plugins	205	3	90	0	0
jquery-retina	25	1	51.2228	6	3
jquery-scrolldepth	22	1	45	0	2
jquery-smart-auto-complete	292	4	70	0	14
jquery-smartresize	66	3	55.1852	0	2
jquery-timeago	628	20	89.7059	0	7
jquery-tmpl	3460	7	58.1871	4	0
jquery-ui	1284	146	10.7653	36	232
jquery-ui-bootstrap	619	14	79.6089	7	14
jquery-validation	3395	33	52.5531	35	23
jquery-waypoints	456	3	83.2714	0	10
jquery-week-calendar	906	26	43.2807	8	6
jquery_example	65	3	76.7442	0	6
jquery_jeditable	586	7	76.5432	17	7
jquerymx	5246	41	100	41	76
jquerypp	5333	45	58.9721	15	60
jquerytools	2041	31	28.8714	25	112
jquip	784	13	28.5081	17	347
jribbble	60	2	2.22222	0	12
js-imagediff	91	2	62.549	11	9
js-model	1438	10	96.9444	0	26
js-redirection-mobile-site	19	1	100	0	7
js-signals	1594	4	96.8944	11	55
jscex	1594	5	46.4329	46	16
jsmidi	171	1	78.8043	0	2
json3	215	1	11.9741	7	3
jsonselect	414	8	10.3896	44	14
jspdf	1874	7	68.959	2	32
jspp	1504	3	0.25974	1	6
jsrender	2031	3	24.2103	0	15
jstorage	132	8	25.9876	0	0
jstree	1016	2	39.8234	30	16
jsts	638	7	25.1606	0	110
juicer	144	2	74.2647	0	11
jute	12558	1	91.477	0	486
jwerty	88	4	26.2626	0	9
jwysiwyg	1742	69	29.2814	31	38
keymaster	255	13	50.5747	0	3
khan-exercises	50007	96	18.5388	101	152
kickstrap	2106	141	21.5748	85	29
kindeditor	8361	4	31.6686	103	58
kineticjs	82	11	4.20127	0	21
kissy	141719	30	32.9347	39	482
klass	23	2	31.25	0	3
knockout	53	26	64.2768	7	30
knockout-sortable	367	3	45.6796	4	9
labjs	601	4	68.8649	0	42
laconic	43	2	68.4524	0	9
lazyload	1509	1	100	1	35
leaflet	1146	69	27.7757	1	31
lernanta	10607	55	28.6608	75	42
liquidmetal	157	3	59.8465	1	6
list	1249	17	56.6406	0	8
livepipe-ui	66	14	15.7249	11	0
livequery	296	3	70.9302	0	4
livereload	211	11	30.5785	0	19
livescript	47	37	37.0964	0	23
livevalidation	2067	2	19.7819	11	21
loadrunner	1414	7	54.6545	21	140
locache	1150	3	29.2553	0	15
lodash	323	79	56.5177	83	33
low-pro	755	6	20.3252	0	90
low-pro-for-jquery	57	5	57	0	4
magento-boilerplate	1431	4	60.7143	5	6
mailcheck	37	6	94.9495	0	8
masha	1037	8	71.7333	0	4
massive-coupon---open-source-groupon-clone	20365	1	11.1111	40	8
mathjax	19244	9	100	126	19
mindmaps	13115	3	64.4595	12	77
mochikit	15243	20	29.3073	19	37
modernizr	1566	71	70.8738	2	53
modestmaps-js	2416	11	65.0183	1	31
mofo	181	5	30.4	0	32
mojito	1566	25	100	13	1042
monocle	4686	4	20.1726	0	137
montage	24607	24	27.0032	113	574
mousetrap	122	5	41.1043	0	6
mwf	132	12	100	6	80
newsblur	95842	9	4.20924	222	351
nimble	661	3	55.6818	0	10
ninja	16327	23	7.6632	156	12
node-htmlparser	208	5	91.5547	2	5
node-readability	1601	3	55.6397	2	10
node-uuid	17	6	89.7196	1	4
node-websocket-server	518	7	56.4286	0	18
nodechat-tutorial	15259	1	3.47072	37	40
nodeclub	5385	17	72.3464	18	31
nodeunit	5669	42	28.907	60	596
novnc	1142	17	23.0163	34	16
nwm	399	2	28.866	16	13
nwmatcher	3590	8	40.842	0	55
o_o	412	4	16.7141	0	23
olelo	544	12	100	34	34
openbadges	465	11	5.12821	8	47
openlayers	57833	59	3.91674	153	429
openmind	9887	4	17.9572	122	1239
openwebapps	6675	19	10.8079	7	139
overthrow	906	4	42.3077	0	7
pagedlist	481	5	81.8533	7	10
pagedown-bootstrap	6921	2	76.412	41	47
paging_keys_js	608	1	37.1968	0	11
pavlov	32	6	52.303	4	11
pebbles	128	4	51.3709	0	11
persist-js	123	8	31.5789	2	6
persistencejs	319	32	5.87895	0	50
phantom-limb	55	2	6.71141	0	3
phonegap-samples	516	2	18.1197	18	4
phonegap-start	129	5	18.1197	5	4
phpjs	676	24	40.4639	17	44
polypage	145	2	90.4167	0	18
popcorn-js	5790	40	16.8478	19	0
porter	64	5	50.2762	0	9
postman	18	4	83.2061	0	6
postman-chrome-extension	5861	12	7.66602	76	12
pouchdb	142	13	19.0244	0	22
primer	122	1	32.2523	0	5
promptu-menu	269	1	0.546448	0	2
protolicious	504	4	27.2842	17	8
prototype	1830	29	38.4	11	66
protovis	10151	11	24.9296	54	251
pusher-js	123	15	22.6804	1	25
put-selector	11	3	44.4444	0	5
q	180	12	60.788	0	10
qooxdoo	9903	63	82.7441	99	1078
qunit	219	59	33.9324	2	10
quojs	292	6	52.5622	9	11
quote-stream	55907	1	3.87749	141	303
qwery	1552	13	38.399	5	7
rails-3-html5-boilerplate	346	4	60.7143	1	10
rainbow	2856	20	91.0414	0	18
raphael-svg-import	53	3	3.77358	0	5
rapidftr	256	93	100	6	256
raty	713	10	91.3706	0	8
rbdb	186	4	20.3317	22	845
recline	4330	19	16.6317	81	28
recurly-js	635	10	30.6738	24	2
redislive	263	9	80.7767	9	18
requirejs	6998	27	53.4974	3	638
respond	141	12	55.0847	0	13
rightjs-core	474	8	28.0638	29	59
rivets	39	8	78.6096	0	13
role	111	6	28.8998	0	3
sammy	392	44	26.2058	44	48
sass-twitter-bootstrap	8728	28	40.8379	39	56
satisfy	40	1	95	0	5
sausage	820	2	26.4407	10	4
scopeleaks	34	2	62.5	0	4
screw-unit	21	15	16.6667	11	14
scriptaculous	6543	13	21.4486	21	83
scripty2	1966	17	23.9683	15	57
scroller	798	9	79.7753	0	5
seajs	3229	8	94.3658	0	488
selectivizr	401	3	0.843308	0	29
selector-queries	158	2	42.8896	0	3
selectorgadget	5566	4	18.4314	7	47
shapesmith	44	6	41.4551	15	29
shining	72	1	0.653595	0	36
simplecart-js	315	8	46.2652	0	14
sizzle	2565	28	15.4982	27	8
skrollr	747	3	44.0678	0	7
skywriter	262	15	49.069	30	55
slickgrid	3980	21	24.6344	5	10
soca	11	16	100	27	35
soundcloud-custom-player	208	2	34.2084	0	15
spidernode	2934	145	100	5	8002
spine	82	38	62.2216	0	22
stapes	1052	3	68.4211	24	5
steal	617	33	46.5627	110	270
sticky	21	4	39.1053	0	0
stickysectionheaders	43	4	59.4454	5	3
streamlinejs	402	10	41.2263	2	33
strophejs	253	25	35.0693	0	9
studio3	414	19	57.6522	22	2533
substance	4717	9	57.4429	23	33
sugar	1693	16	46.6072	2	209
suggest	19	4	41.1035	11	3
superagent	111	10	56.1265	0	27
supermodel	667	3	98.9071	0	10
svarx	436	1	77.8865	0	3
swagger-ui	824	11	100	90	142
sylvester	157	1	42.7368	0	10
syn	694	6	38.9189	16	16
synapse	1025	2	35.169	31	5
syntaxhighlighter	2953	12	100	3	33
tangram-base	1137	32	18.2992	29	383
tangram-component	17220	32	100	29	652
tempo	761	3	58.6428	0	0
termkit	23301	5	100	57	30
text	114	8	7	6	5
therenderengine	1128	2	31.0829	4	24
thorax	759	6	68.1745	49	14
tiddlywiki	826	18	0.990099	24	70
tiddlywiki5	126243	1	27.2411	79	216
tile5	7477	2	22.2237	72	35
tilt	357	1	6.10179	17	9
timeframe	594	4	36.1639	12	4
timeline-setter	2708	6	39.1579	26	5
tinymce	18264	55	21.4999	71	110
todomvc	30127	59	48.2636	153	543
todos	43	3	40.7753	30	0
tombloo	2819	18	17.3786	12	25
tquery	38974	2	28.3357	140	131
transform	1265	3	15.5085	19	34
treesaver	2119	4	32.0038	8	46
trident-js	1482	1	26.4446	0	23
tufte-graph	412	2	8.05117	0	2
twitter-text-js	176	29	20.9947	11	6
twitterlib	274	3	16.5306	0	20
ui	23	8	10.9181	0	22
uki	208	16	42.2619	0	32
underscore	2691	85	61.8661	3	16
uni-form	744	13	52.0049	0	5
unveil	660	2	27.5291	45	24
vexflow	1890	18	42.1635	10	38
video-js	316	23	21.8615	3	43
vie	12256	14	15.5232	8	28
vivagraphjs	1582	2	4.39239	75	90
wax	101	18	30.7157	23	22
webglcraft	124	1	39.8374	67	21
weld	213	11	38.785	0	10
windmill	5517	28	63.6364	11	480
wire	3337	5	16.3086	1	167
wp-front-end-editor	52	5	12.9878	131	3
writecapture	173	7	23.2908	10	26
wro4j	2541	24	100	214	1309
wtfjs	21846	24	24.898	75	2426
wymeditor	2777	25	16.5075	8	46
wysihat	2148	13	24.4736	21	16
wysihtml5	369	18	18.561	7	34
xauth	237	1	85.2459	0	4
xdate	39	3	51.4572	0	15
xregexp	22	3	93.1624	0	7
yabble	597	1	64.3787	0	234
ymacs	58	1	34.0472	0	350
yui3	39415	85	39.6317	0	1158
yui3-gallery	103162	4	43.4024	46	549
zen-coding	338	2	50.1585	55	27
zepto	2359	95	58.6114	0	26
zoomooz	898	5	100	0	6
